business_activities,cuisine_name,license_no,licensing_agency,number_of_employees,latitude,longitude
Bakery Products Manufacturing,International cuisine,1073580,Department of Economic Development- Dubai,29,24.894432881502865,54.93174259025684
Hotel Apartments,International cuisine,693284,Department of Economic Development- Dubai,29,25.079697132092445,55.14267953970011
Vegetable and Fruit Trading,Not Applicable,512188,Department of Economic Development- Dubai,7,25.180885974173137,55.38037031745328
Coffee Shop,Not Applicable,1260932,Department of Economic Development- Dubai,1,25.27611892180057,55.31447082043458
Cafeteria,International cuisine,946689,Department of Economic Development- Dubai,0,25.2306322,55.2725641
Restaurant,Philippines Cuisine,1395357,Department of Economic Development- Dubai,9,25.26012952687131,55.19525199414056
Cafeteria,International cuisine,1123110,Department of Economic Development- Dubai,7,25.232991849927927,55.43207846581936
Restaurant,Not Applicable,1260155,Department of Economic Development- Dubai,4,25.237553468907727,55.50567626953125
Catering Services,International cuisine,754000,Department of Economic Development- Dubai,22,,
Supplier of Pasteurized Eggs,Not Applicable,967063,Department of Economic Development- Dubai,30,25.281837124286348,55.36029297714846
Restaurant,Indian cuisine,678732,Department of Economic Development- Dubai,18,25.191301160278726,55.406782289893165
Restaurant,Arabic cuisine,638960,Department of Economic Development- Dubai,30,25.26012952687131,55.19525199414056
Coffee Shop,,749120,Department of Economic Development- Dubai,0,25.172169165596205,55.42415552151715
Restaurant,Thai Cuisine,1220955,Department of Economic Development- Dubai,4,25.0727422,55.2369801
Restaurant,International cuisine,757047,Department of Economic Development- Dubai,2,25.252035171308453,55.28809693298808
Mini Store,Others,743233,Department of Economic Development- Dubai,18,25.246623427699607,55.33891662955284
Restaurant,Arabic cuisine,680834,Department of Economic Development- Dubai,0,25.204929,55.27084
Restaurant,Others,533527,Department of Economic Development- Dubai,35,25.204929,55.27084
Grocery Store,Others,726503,Department of Economic Development- Dubai,0,24.9523556,55.5069439
Coffee Shop,Not Applicable,981861,Department of Economic Development- Dubai,26,25.30670919396864,55.36431312561035
Restaurant,Indian cuisine,506261,Department of Economic Development- Dubai,17,25.171218327019613,55.24359950340147
General Trading,Not Applicable,682927,Department of Economic Development- Dubai,1,25.2678478,55.294463
General Trading,Not Applicable,1206642,Department of Economic Development- Dubai,41,25.17639820846724,55.38559913635254
Restaurant,Pakistani cuisine,797105,Department of Economic Development- Dubai,11,25.26584270788293,55.325075257333765
Restaurant,Indian cuisine,647415,Department of Economic Development- Dubai,15,25.06412437588357,55.40661945224565
Coffee Shop,Not Applicable,952779,Department of Economic Development- Dubai,4,25.012656395549524,55.26677758416976
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,656245,Department of Economic Development- Dubai,10,25.16364846561589,55.41468704927343
Restaurant,International cuisine,687103,Department of Economic Development- Dubai,12,25.044137085435136,55.25062364642727
Nuts Trading,Not Applicable,1190735,Department of Economic Development- Dubai,1,25.0812366,55.1406391
Cafeteria,Not Applicable,1200401,Department of Economic Development- Dubai,5,25.23219633166365,55.27845025062561
Building Maintenance,Not Applicable,518195,Department of Economic Development- Dubai,1,25.169485862207065,55.38470587292187
General Trading,Others,757704,Department of Economic Development- Dubai,0,25.204929,55.27084
Cafeteria,Arabic cuisine,976234,Department of Economic Development- Dubai,1,25.2676426,55.3214655
Restaurant,Indian cuisine,583812,Department of Economic Development- Dubai,3,25.259385007339667,55.29483424205989
Cafeteria,Not Applicable,964825,Department of Economic Development- Dubai,5,25.28409081995821,55.35146772988588
Hypermarket,International cuisine,783395,Department of Economic Development- Dubai,29,25.07635327540527,55.13446181
Restaurant,Chinese cuisine,1225548,Department of Economic Development- Dubai,5,25.26012952687131,55.19525199414056
Grocery Store,Not Applicable,651890,Department of Economic Development- Dubai,0,25.204929,55.27084
Food & Beverages Trading (Sub-activity of Food Service),Not Applicable,952008,Department of Economic Development- Dubai,0,,
Food & Beverages Trading (Sub-activity of Trading),Others,743046,Department of Economic Development- Dubai,3,25.23268774497036,55.44622894014149
Restaurant,Indian cuisine,710028,Department of Economic Development- Dubai,9,25.281293066941263,55.397807210683936
Cafeteria,Indian cuisine,101950,Department of Economic Development- Dubai,1,25.23742364849545,55.27723505684376
Coffee Shop,Mexican Cuisine,815612,Department of Economic Development- Dubai,0,25.232452305321605,55.38569167256355
Restaurant,Turkish cuisine,827516,Department of Economic Development- Dubai,8,25.209616881472325,55.26006177
Mini Store,Not Applicable,687185,Department of Economic Development- Dubai,19,25.27767966779744,55.35276322829896
Coffee Shop,Indian cuisine,809319,Department of Economic Development- Dubai,2,25.25001766476728,55.28922434896231
Meat Seller,Not Applicable,740845,Department of Economic Development- Dubai,6,25.275277957839087,55.31326722725478
Cafeteria,Indian cuisine,122219,Department of Economic Development- Dubai,0,25.27110514884627,55.35330887081909
Hotel Apartments,,615094,Department of Economic Development- Dubai,4,25.11390729487301,55.19280654816612
Restaurant,Arabic cuisine,955983,Department of Economic Development- Dubai,5,25.00532728013357,55.24926211684942
Confectionary & Chocolate Trading,International cuisine,1263718,Department of Economic Development- Dubai,1,,
Restaurant,Indian cuisine,513470,Department of Economic Development- Dubai,0,25.204929,55.27084
Restaurant,Arabic cuisine,1011377,Department of Economic Development- Dubai,58,,
Restaurant,International cuisine,603064,Department of Economic Development- Dubai,1,25.204929,55.27084
Coffee Shop,Not Applicable,1130123,Department of Economic Development- Dubai,6,25.19979382310881,55.25633698632812
Restaurant,Pakistani cuisine,522543,Department of Economic Development- Dubai,1,25.26435613964093,55.31802104803352
Restaurant,Indian cuisine,647552,Department of Economic Development- Dubai,18,25.29677703,55.368562136534216
Restaurant,,852421,Department of Economic Development- Dubai,0,25.26986597223677,55.32205224
Fresh & Chilled & Frozen Meat Trading,Chinese cuisine,934756,Department of Economic Development- Dubai,1,,
Grocery Store,Not Applicable,227080,Department of Economic Development- Dubai,0,25.204929,55.27084
General Trading,Indian cuisine,1022069,Department of Economic Development- Dubai,15,25.2678593,55.2954364
Fish & Marine Animals Trading,Not Applicable,129111,Department of Economic Development- Dubai,0,25.204929,55.27084
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,526573,Department of Economic Development- Dubai,10,25.269377601488955,55.295601229979525
Restaurant,Not Applicable,738736,Department of Economic Development- Dubai,2,25.17509711217197,55.37727355957031
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,1015963,Department of Economic Development- Dubai,4,25.291267057619592,55.36963463
Restaurant,Not Applicable,CL2674,Department of Economic Development- Dubai,20,25.13183062112844,55.21400301306964
Restaurant,Arabic cuisine,1099640,Department of Economic Development- Dubai,15,25.09337212443004,55.17711639404297
Restaurant,Not Applicable,1393650,Department of Economic Development- Dubai,6,,
Restaurant,,730386,Department of Economic Development- Dubai,7,25.204929,55.27084
Restaurant,Indian cuisine,1147159,Department of Economic Development- Dubai,19,24.98461632138867,55.18251735717058
Restaurant,Indian cuisine,106136,Department of Economic Development- Dubai,7,25.27786511853652,55.30858633812932
Food Truck- Full Restaurant,International cuisine,770352,Department of Economic Development- Dubai,1,,
Restaurant,American Cuisine,677328,Department of Economic Development- Dubai,9,25.04610327993172,55.117034912109375
Restaurant,Arabic cuisine,104705,Department of Economic Development- Dubai,12,25.27372285,55.30171762421367
Cafeteria,Chinese cuisine,1021055,Department of Economic Development- Dubai,8,,
Grocery Store,Not Applicable,832853,Department of Economic Development- Dubai,6,25.229544364328177,55.27367860078812
Restaurant,Indian cuisine,760956,Department of Economic Development- Dubai,0,25.17805762277812,55.24504247820005
Malls/SME/Intaleq,International cuisine,1236873,Department of Economic Development- Dubai,4,25.09646185,55.193724632263184
Restaurant,Arabic cuisine,933129,Department of Economic Development- Dubai,10,25.1625472,55.2599552
Cafeteria,Arabic cuisine,1321833,Department of Economic Development- Dubai,7,,
Supermarket,Not Applicable,841462,Department of Economic Development- Dubai,7,,
Coffee Shop,,1347873,Department of Economic Development- Dubai,5,25.247744,55.3058304
Restaurant,Indian cuisine,1164241,Department of Economic Development- Dubai,3,25.174131056920032,55.25516181469728
Restaurant,Pakistani cuisine,1179099,Department of Economic Development- Dubai,8,25.111792701029035,55.19248008728027
Fish & Marine Animals Trading,Not Applicable,543266,Department of Economic Development- Dubai,0,25.204929,55.27084
Restaurant,Indian cuisine,535763,Department of Economic Development- Dubai,20,25.27152680618676,55.38092332030715
Restaurant,Japanese Cuisine,809938,Department of Economic Development- Dubai,14,25.2181333,55.40859
Food & Beverages Trading (Sub-activity of Trading),Others,674939,Department of Economic Development- Dubai,0,25.204929,55.27084
Restaurant,International cuisine,1131058,Department of Economic Development- Dubai,9,25.216822366512503,55.31532526016235
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,839180,Department of Economic Development- Dubai,5,25.21825751675048,55.27913769707982
School,Not Applicable,620595,Department of Economic Development- Dubai,3,25.053228862998992,55.17057098891269
Ice Cream Shop,Not Applicable,804851,Department of Economic Development- Dubai,2,25.204929,55.27084
Restaurant,Italian Cuisine,757320,Department of Economic Development- Dubai,3,25.257895337755087,55.32458692789078
Ice Cream Shop,Not Applicable,883611,Department of Economic Development- Dubai,1,25.07798867097437,55.13408931454008
Restaurant,Chinese cuisine,814580,Department of Economic Development- Dubai,15,25.066052042349217,55.192123060561926
Canned Food,Not Applicable,1177564,Department of Economic Development- Dubai,3,,
General Trading,Not Applicable,578010,Department of Economic Development- Dubai,2,25.176048661573294,55.38980484008789
Three Star Hotel,International cuisine,914605,Department of Economic Development- Dubai,7,,
Restaurant,Indian cuisine,1201103,Department of Economic Development- Dubai,1,25.279858789288287,55.316505432128906
Restaurant,International cuisine,1159319,Department of Economic Development- Dubai,19,25.092943395224708,55.380788929760456
General Trading,Not Applicable,927721,Department of Economic Development- Dubai,1,25.1610388,55.4035282
Restaurant,International cuisine,876555,Department of Economic Development- Dubai,6,25.13409575984924,55.21728516
Coffee Shop,International cuisine,658512,Department of Economic Development- Dubai,1,25.254724687299888,55.329539443868725
General Trading,Others,245135,Department of Economic Development- Dubai,1,25.26067269552745,55.29293112734399
Restaurant,Not Applicable,897124,Department of Economic Development- Dubai,29,25.13826437,55.23534850097654
Restaurant,Arabic cuisine,1056525,Department of Economic Development- Dubai,1,25.279956778710883,55.35092197912599
Restaurant,Others,121765,Department of Economic Development- Dubai,5,25.18537197684806,55.35966738649846
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,937643,Department of Economic Development- Dubai,7,25.11442537324998,55.13885736465454
Restaurant,Indian cuisine,576882,Department of Economic Development- Dubai,1,25.22961904069688,55.27558013082307
Catering Services,International cuisine,903711,Department of Economic Development- Dubai,2,25.274260972756903,55.323307514190674
Restaurant,Indian cuisine,691182,Department of Economic Development- Dubai,18,25.095389922659603,55.37862515158258
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,685015,Department of Economic Development- Dubai,3,25.204929,55.27084
Food Promotion,German Cuisine,817806,Department of Economic Development- Dubai,0,25.0830689,55.1444579
Restaurant,Indian cuisine,760432,Department of Economic Development- Dubai,1,25.23990272926063,55.30208396329044
Restaurant,International cuisine,969960,Department of Economic Development- Dubai,9,25.11334675,55.13931702822447
Grocery Store,Not Applicable,1067134,Department of Economic Development- Dubai,0,,
Mini Store,Others,1394016,Department of Economic Development- Dubai,10,,
Restaurant,Indian cuisine,1262295,Department of Economic Development- Dubai,9,25.28081443616844,55.38721232891847
Restaurant,Indian cuisine,123788,Department of Economic Development- Dubai,5,25.25851279,55.40308399
Vegetable and Fruit Trading,Not Applicable,580542,Department of Economic Development- Dubai,0,25.204929,55.27084
Coffee Shop,Not Applicable,1201394,Department of Economic Development- Dubai,58,25.197327928554312,55.27678593993187
Restaurant,Arabic cuisine,817483,Department of Economic Development- Dubai,29,25.184132866396645,55.41813062
Restaurant,Indian cuisine,876730,Department of Economic Development- Dubai,34,25.221087041028955,55.33474579453468
Restaurant,Indian cuisine,944783,Department of Economic Development- Dubai,10,,
Cafeteria,Indian cuisine,510451,Department of Economic Development- Dubai,8,25.204929,55.27084
Coffee Shop,Not Applicable,934378,Department of Economic Development- Dubai,14,25.18039850709368,55.24097442626953
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,1328589,Department of Economic Development- Dubai,1,25.26012952687131,55.19525199414056
Restaurant,International cuisine,663110,Department of Economic Development- Dubai,0,25.00799362,55.15983677
Ice Cream Shop,American Cuisine,559103,Department of Economic Development- Dubai,6,25.076358849310125,55.13510826749348
Restaurant,International cuisine,824341,Department of Economic Development- Dubai,4,25.20164303770941,55.45494094491005
Food & Beverages Trading (Sub-activity of Food Service),Not Applicable,994551,Department of Economic Development- Dubai,0,25.22443,55.2723291
Restaurant,Not Applicable,810428,Department of Economic Development- Dubai,0,25.239148,55.3070256
Ice Cream Shop,Indian cuisine,682527,Department of Economic Development- Dubai,1,,
Restaurant,Arabic cuisine,1008637,Department of Economic Development- Dubai,6,25.278889900540868,55.34026424773253
Restaurant,Indian cuisine,1281611,Department of Economic Development- Dubai,8,25.26012952687131,55.19525199414056
Coffee Shop,Indian cuisine,774043,Department of Economic Development- Dubai,0,25.24757758078826,55.30623385508079
Food & Beverages Trading (Sub-activity of Trading),Others,755699,Department of Economic Development- Dubai,1,25.24607634292467,55.30649996885301
Global Village,Arabic cuisine,920574,Department of Economic Development- Dubai,7,25.18888626650466,55.40499888
Restaurant,Indian cuisine,938804,Department of Economic Development- Dubai,8,25.075064657803097,55.18605667954101
Cafeteria,Indian cuisine,835232,Department of Economic Development- Dubai,3,25.2854671,55.41395
Restaurant,Arabic cuisine,665232,Department of Economic Development- Dubai,22,25.259769372853302,55.33688684335357
Grocery Store,Indian cuisine,502605,Department of Economic Development- Dubai,0,25.274973491896063,55.310536404234654
Supermarket,International cuisine,700691,Department of Economic Development- Dubai,61,25.010676288984765,55.28979305542599
Restaurant,Arabic cuisine,1084229,Department of Economic Development- Dubai,1,,
Food & Beverages Trading (Sub-activity of Food Service),Not Applicable,819748,Department of Economic Development- Dubai,3,25.2754207,55.3606911
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,644016,Department of Economic Development- Dubai,1,25.28038903,55.34454524326276
General Trading,Not Applicable,1022400,Department of Economic Development- Dubai,10,25.10159949052268,55.23984900957461
Restaurant,International cuisine,1402876,Department of Economic Development- Dubai,2,,
Restaurant,Philippines Cuisine,805540,Department of Economic Development- Dubai,13,25.11541819774805,55.20301085874371
Restaurant,Pakistani cuisine,1001862,Department of Economic Development- Dubai,0,,
Restaurant,American Cuisine,647804,Department of Economic Development- Dubai,3,25.069848300000004,55.1486314
Three Star Hotel,Philippines Cuisine,529548,Department of Economic Development- Dubai,4,25.204929,55.27084
Restaurant,Not Applicable,1208564,Department of Economic Development- Dubai,52,25.22652837876073,55.26826858520508
Food & Beverages Trading (Sub-activity of Trading),International cuisine,1182328,Department of Economic Development- Dubai,12,25.232196331663573,55.31435966491699
Food & Beverages Trading (Sub-activity of Trading),International cuisine,818940,Department of Economic Development- Dubai,5,25.13952138426844,55.23012922733267
Gas Station,Not Applicable,1398495,Department of Economic Development- Dubai,5,,
Cafeteria,Others,896808,Department of Economic Development- Dubai,6,25.15631705654861,55.40903091430664
Malls/SME/Intaleq,Not Applicable,1256726,Department of Economic Development- Dubai,2,25.1887616,55.279616
Coffee Trading,Not Applicable,690937,Department of Economic Development- Dubai,0,25.2698131,55.3025731
Nuts Trading,Others,656775,Department of Economic Development- Dubai,8,25.27835384306361,55.39137134124917
Restaurant,Arabic cuisine,717739,Department of Economic Development- Dubai,8,25.27771757690019,55.31079009
Restaurant,International cuisine,1114533,Department of Economic Development- Dubai,8,25.24096463888522,55.27121901512146
Malls/SME/Intaleq,Others,972149,Department of Economic Development- Dubai,9,25.14963555351533,55.34238338470459
General Trading,Not Applicable,218954,Department of Economic Development- Dubai,0,25.204929,55.27084
Catering Services,Not Applicable,867856,Department of Economic Development- Dubai,9,25.25856404680726,55.3321067
Restaurant,Arabic cuisine,906753,Department of Economic Development- Dubai,1,25.2821944,55.3156415
Cafeteria,Pakistani cuisine,893544,Department of Economic Development- Dubai,8,,
Restaurant,International cuisine,814557,Department of Economic Development- Dubai,14,25.22218988700717,55.26507675647736
Restaurant,Arabic cuisine,701143,Department of Economic Development- Dubai,4,25.204929,55.27084
General Trading,Not Applicable,230468,Department of Economic Development- Dubai,29,25.16987637273317,55.391917558251976
Supermarket,Not Applicable,900323,Department of Economic Development- Dubai,1,25.2530307,55.3287461
Restaurant,International cuisine,813614,Department of Economic Development- Dubai,24,25.073359610937576,55.12587985358891
Restaurant,Turkish cuisine,1081100,Department of Economic Development- Dubai,3,25.07030909745829,55.13489373028278
Restaurant,Arabic cuisine,786452,Department of Economic Development- Dubai,51,25.250393381239867,55.30204363167286
Restaurant,International cuisine,1203464,Department of Economic Development- Dubai,19,25.003709571076943,55.292083248496056
Frozen Fish & Sea Food Trading,Others,601395,Department of Economic Development- Dubai,17,25.17461888785553,55.39297706970216
General Trading,Not Applicable,707879,Department of Economic Development- Dubai,0,,
Restaurant,Arabic cuisine,725717,Department of Economic Development- Dubai,1,25.28052744288657,55.35153110945714
Restaurant,Pakistani cuisine,1108093,Department of Economic Development- Dubai,5,25.26012952687131,55.19525199414056
Coffee Shop,Turkish cuisine,706535,Department of Economic Development- Dubai,4,25.19077246,55.23193806409836
Cafeteria,International cuisine,950372,Department of Economic Development- Dubai,1,,
General Trading,Not Applicable,205161,Department of Economic Development- Dubai,0,25.2687763,55.2987274
Restaurant,Pakistani cuisine,837827,Department of Economic Development- Dubai,0,25.27634767345641,55.33018520363839
Coffee Shop,Not Applicable,734789,Department of Economic Development- Dubai,1,25.283978742571662,55.35185021
Grocery Store,Indian cuisine,990832,Department of Economic Development- Dubai,0,25.14470188335021,55.391714572906494
Cafeteria,Arabic cuisine,919419,Department of Economic Development- Dubai,5,25.27761111633644,55.30724884932096
Coffee Shop,Not Applicable,692754,Department of Economic Development- Dubai,11,25.204929,55.27084
Restaurant,Indian cuisine,688012,Department of Economic Development- Dubai,1,25.006046593388746,55.10521323061905
General Trading,Not Applicable,997122,Department of Economic Development- Dubai,1,25.171129,55.3973534
Vegetable and Fruit Trading,International cuisine,615937,Department of Economic Development- Dubai,16,25.1760299,55.391809
Supermarket,Not Applicable,624559,Department of Economic Development- Dubai,0,25.204929,55.27084
Nuts Trading,International cuisine,808710,Department of Economic Development- Dubai,2,,
Coffee Shop,Not Applicable,796436,Department of Economic Development- Dubai,7,25.28035314,55.35344930888254
General Trading,Not Applicable,708429,Department of Economic Development- Dubai,1,25.297750050811743,55.39101399643323
Hotel Apartments,Indian cuisine,564131,Department of Economic Development- Dubai,12,25.2426475,55.3001349
Preparation of Juices/Shakes,Others,802278,Department of Economic Development- Dubai,1,24.9704649,55.1716859
Restaurant,Indian cuisine,916851,Department of Economic Development- Dubai,12,25.1126552,55.2050544
Restaurant,International cuisine,919028,Department of Economic Development- Dubai,18,25.23408324554818,55.43729115133895
Restaurant,International cuisine,1253586,Department of Economic Development- Dubai,18,25.197305327844745,55.36875412062624
Hospitality Services,International cuisine,1107239,Department of Economic Development- Dubai,31,25.223151883440103,55.356560288132464
Restaurant,Arabic cuisine,1448612,Department of Economic Development- Dubai,2,25.1706885,55.4033382
Restaurant,Chinese cuisine,725101,Department of Economic Development- Dubai,6,25.18517980698815,55.279984578944095
Grocery Store,Others,218742,Department of Economic Development- Dubai,0,25.27276777,55.362981591012485
Grocery Store,Not Applicable,965868,Department of Economic Development- Dubai,0,,
Restaurant,Pakistani cuisine,926890,Department of Economic Development- Dubai,5,25.230634222492387,55.55626808417966
Restaurant,Not Applicable,1386702,Department of Economic Development- Dubai,15,,
Grocery Store,Not Applicable,1018193,Department of Economic Development- Dubai,0,25.48362766684622,55.38348116992186
Department Store,Not Applicable,974765,Department of Economic Development- Dubai,14,25.099473761939628,55.20522594451904
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,661553,Department of Economic Development- Dubai,214,25.2869735,55.3842167
Restaurant,Japanese Cuisine,1081324,Department of Economic Development- Dubai,1,25.18080993812824,55.269187577068806
Restaurant,American Cuisine,245733,Department of Economic Development- Dubai,7,25.25694143294252,55.295255034654815
Grocery Store,Others,221353,Department of Economic Development- Dubai,4,25.204929,55.27084
Fish & Marine Animals Trading,Not Applicable,537431,Department of Economic Development- Dubai,0,25.204929,55.27084
Restaurant,Thai Cuisine,683662,Department of Economic Development- Dubai,20,25.223977638465776,55.42683024486655
Restaurant,Thai Cuisine,755941,Department of Economic Development- Dubai,21,25.04694519650215,55.24504371710966
Restaurant,International cuisine,1392148,Department of Economic Development- Dubai,13,25.26012952687131,55.19525199414056
Restaurant,African cuisine,990442,Department of Economic Development- Dubai,42,25.10178060868222,55.24011658814819
Restaurant,Turkish cuisine,996229,Department of Economic Development- Dubai,20,25.18924578856808,55.26504859
General Trading,Not Applicable,950425,Department of Economic Development- Dubai,0,25.2776901,55.3108752
Mini Store,Others,734482,Department of Economic Development- Dubai,0,25.267195809768364,55.381765140816015
Restaurant,Italian Cuisine,520207,Department of Economic Development- Dubai,20,25.23292105,55.38540453968744
Restaurant,Arabic cuisine,633541,Department of Economic Development- Dubai,14,25.08534229201204,55.14511111715079
Coffee Shop,Not Applicable,817284,Department of Economic Development- Dubai,17,25.2155894,55.4072459
Restaurant,Chinese cuisine,860539,Department of Economic Development- Dubai,7,25.1133069,55.191243
Coffee Shop,Not Applicable,607902,Department of Economic Development- Dubai,10,,
Restaurant,Arabic cuisine,785410,Department of Economic Development- Dubai,6,25.23142210464519,55.26042967320245
Cafeteria,Not Applicable,1012345,Department of Economic Development- Dubai,5,25.17371832,55.41435241699219
Restaurant,Not Applicable,779850,Department of Economic Development- Dubai,0,25.204929,55.27084
Restaurant,Indian cuisine,127480,Department of Economic Development- Dubai,11,25.27551926366945,55.30661372350073
Food & Beverages Trading (Sub-activity of Trading),Others,689982,Department of Economic Development- Dubai,29,24.974573185709016,55.19841917
Grocery Store,Not Applicable,665211,Department of Economic Development- Dubai,0,25.204929,55.27084
Supermarket,Not Applicable,505675,Department of Economic Development- Dubai,43,25.27468474800484,55.42183624219672
Cafeteria,Pakistani cuisine,778824,Department of Economic Development- Dubai,0,,
Restaurant,Arabic cuisine,760278,Department of Economic Development- Dubai,2,25.10972172,55.19734712853051
Cafeteria,Indian cuisine,106125,Department of Economic Development- Dubai,7,25.262479783861195,55.294832475871885
General Trading,International cuisine,799474,Department of Economic Development- Dubai,0,25.2647961,55.4251593
Dry Food Trading,Not Applicable,511776,Department of Economic Development- Dubai,0,25.2700965,55.3033595
Restaurant,International cuisine,727729,Department of Economic Development- Dubai,40,25.26806491021326,55.32169846555337
Mini Store,Not Applicable,785233,Department of Economic Development- Dubai,1,25.2222661,55.3535066
Food & Beverages Trading (Sub-activity of Trading),Others,659649,Department of Economic Development- Dubai,0,25.204929,55.27084
Cafeteria,Arabic cuisine,1234008,Department of Economic Development- Dubai,1,25.27601698806445,55.339722633361816
Restaurant,French Cuisine,725315,Department of Economic Development- Dubai,3,25.18882099946211,55.264822406248186
Coffee Shop,Not Applicable,1055610,Department of Economic Development- Dubai,20,25.2352706,55.2935529
Restaurant,Japanese Cuisine,766779,Department of Economic Development- Dubai,24,25.22225782878673,55.35127758979797
Restaurant,,124130,Department of Economic Development- Dubai,0,25.204929,55.27084
"Salted, Preserved Fish & Seafood Trading",Not Applicable,896114,Department of Economic Development- Dubai,0,25.24014392133709,55.359930935133775
Restaurant,Not Applicable,208783,Department of Economic Development- Dubai,0,25.204929,55.27084
Restaurant,American Cuisine,790367,Department of Economic Development- Dubai,55,25.189493660968107,55.26322938501835
Restaurant,Indian cuisine,1112431,Department of Economic Development- Dubai,20,25.277064764098544,55.40800094604492
General Trading,Not Applicable,578013,Department of Economic Development- Dubai,1,25.17616517731596,55.38984775543213
Restaurant,Philippines Cuisine,668881,Department of Economic Development- Dubai,19,25.242034249014644,55.297188833355904
Restaurant,Not Applicable,1254345,Department of Economic Development- Dubai,31,,
Supermarket,Not Applicable,835623,Department of Economic Development- Dubai,138,25.24121564862424,55.29777265753327
Grocery Store,Not Applicable,583359,Department of Economic Development- Dubai,1,25.27687454893665,55.30679692
Cafeteria,Not Applicable,1080870,Department of Economic Development- Dubai,3,25.21860833090568,55.27067184448242
Coffee Shop,Japanese Cuisine,904805,Department of Economic Development- Dubai,13,,
Cafeteria,Others,639999,Department of Economic Development- Dubai,1,25.23574473361366,55.30746102333069
Cold Storage,Not Applicable,502754,Department of Economic Development- Dubai,58,25.158388734759683,55.23275920624032
Party Cook,Pakistani cuisine,794952,Department of Economic Development- Dubai,2,25.17015967,55.362516962455416
Restaurant,Korean Cuisine,972764,Department of Economic Development- Dubai,22,25.047336541053618,55.24380289534912
Restaurant,Indian cuisine,105252,Department of Economic Development- Dubai,1,25.264361664779845,55.29354633829087
Restaurant,Arabic cuisine,755258,Department of Economic Development- Dubai,2,25.19960184337678,55.26614160667111
Coffee Shop,Not Applicable,792306,Department of Economic Development- Dubai,0,25.169356082303377,55.34722931274415
Restaurant,Chinese cuisine,690444,Department of Economic Development- Dubai,0,25.204929,55.27084
Restaurant,International cuisine,742658,Department of Economic Development- Dubai,0,25.204929,55.27084
Restaurant,Not Applicable,793966,Department of Economic Development- Dubai,4,25.091868655634272,55.24392585733108
Mini Store,Not Applicable,687140,Department of Economic Development- Dubai,20,25.26630643878529,55.31422823667526
Grocery Store,Not Applicable,229174,Department of Economic Development- Dubai,0,25.204929,55.27084
General Trading,Not Applicable,889644,Department of Economic Development- Dubai,1,25.29037102288579,55.366818529311296
Grocery Store,Not Applicable,223107,Department of Economic Development- Dubai,1,25.204929,55.27084
Coffee Shop,Turkish cuisine,949791,Department of Economic Development- Dubai,1,25.1497695,55.1988256
Mini Store,,789679,Department of Economic Development- Dubai,10,25.24980316732909,55.33937670288378
Restaurant,Indian cuisine,1074227,Department of Economic Development- Dubai,54,25.249043343755204,55.30330896377564
Restaurant,Arabic cuisine,1394065,Department of Economic Development- Dubai,18,25.06186640251195,55.239140840778326
Restaurant,Pakistani cuisine,667169,Department of Economic Development- Dubai,12,25.25871586482929,55.4231818
Coffee Shop,International cuisine,1227213,Department of Economic Development- Dubai,6,25.2025231,55.2763867
General Trading,Others,672236,Department of Economic Development- Dubai,4,25.266786451572603,55.294722895555424
Food & Beverages Trading (Sub-activity of Food Service),Not Applicable,827872,Department of Economic Development- Dubai,0,25.097025370707755,55.693386644124985
Restaurant,Pakistani cuisine,1374433,Department of Economic Development- Dubai,10,24.989169895608825,55.17024993896485
General Trading,Not Applicable,716662,Department of Economic Development- Dubai,1,25.2777098,55.3116522
Vegetable and Fruit Trading,Not Applicable,651223,Department of Economic Development- Dubai,13,25.17659689731314,55.388045841519215
Food & Beverages Trading (Sub-activity of Trading),Not Applicable,705346,Department of Economic Development- Dubai,33,25.29948001168837,55.382912750926025
Restaurant,Indian cuisine,1074957,Department of Economic Development- Dubai,9,,
Restaurant,Arabic cuisine,1008114,Department of Economic Development- Dubai,0,,
Hypermarket,Not Applicable,892157,Department of Economic Development- Dubai,15,24.9866209,55.1400327
Catering Services,Others,764603,Department of Economic Development- Dubai,0,25.204929,55.27084
Mini Store,,754977,Department of Economic Development- Dubai,0,25.204929,55.27084
Restaurant,Not Applicable,574587,Department of Economic Development- Dubai,1,25.204929,55.27084
Restaurant,International cuisine,745775,Department of Economic Development- Dubai,1,25.227264,55.3967616
Delivery Services,International cuisine,971502,Department of Economic Development- Dubai,7,25.078697672085028,55.22274262796718
Restaurant,Indian cuisine,600528,Department of Economic Development- Dubai,11,25.2605428,55.4404875
Fish & Marine Animals Trading,Not Applicable,130663,Department of Economic Development- Dubai,0,25.204929,55.27084
Restaurant,Arabic cuisine,642370,Department of Economic Development- Dubai,0,25.18859724438196,55.40775112635802
Pastry Preparing,Not Applicable,968088,Department of Economic Development- Dubai,11,25.16320278,55.41808797315978
