"business_activities","cuisine_name","license_no","licensing_agency","location_gps","number_of_employees","load_timestamp"
"Confectionery and Chocolate Trading (Retail)","Not Applicable","840186","Department of Economic Development- Dubai","25.215961561926907,55.40928270854186","1.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","542558","Department of Economic Development- Dubai","25.09841107875175,55.17570841648818","33.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Indian cuisine","893052","Department of Economic Development- Dubai","25.2865491,55.3705474","3.00","2026-06-29T16:24:56.000Z"
"General Trading","Chinese cuisine","744237","Department of Economic Development- Dubai","25.18099854090649,55.38033511345998","17.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","628505","Department of Economic Development- Dubai","25.2621348,55.3151216","2.00","2026-06-29T16:24:56.000Z"
"Five Star Hotel","International cuisine","656773","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Training Centre","International cuisine","785335","Department of Economic Development- Dubai","25.117418846937984,55.23549465178224","7.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","730032","Department of Economic Development- Dubai","25.116178438080407,55.19709885936571","3.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","839572","Department of Economic Development- Dubai","25.2706816,55.3811968","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","616460","Department of Economic Development- Dubai","25.204929,55.270840","67.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","English Cuisine","689520","Department of Economic Development- Dubai","25.263524960409143,55.30384660983427","3.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Indian cuisine","110369","Department of Economic Development- Dubai","25.260964050049996,55.29153618189412","2.00","2026-06-29T16:24:56.000Z"
"Dry Food Trading","Not Applicable","876112","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Food Truck- Full Restaurant","International cuisine","776944","Department of Economic Development- Dubai","25.23499866795635,55.475060530006886","1.00","2026-06-29T16:24:56.000Z"
"General Trading","","201314","Department of Economic Development- Dubai","25.178983064496315,55.39073958992958","277.00","2026-06-29T16:24:56.000Z"
"Labour Accommodation Canteen/Catering","Not Applicable","572408","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Cafeteria","American Cuisine","1257666","Department of Economic Development- Dubai","25.10549737301484,55.24131774902344","35.00","2026-06-29T16:24:56.000Z"
"Food Stuff Supply Services","Not Applicable","1393197","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Arabic cuisine","725588","Department of Economic Development- Dubai","25.190394313776135,55.23158737345511","6.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Others","608435","Department of Economic Development- Dubai","24.90874269295881,55.117495733934675","15.00","2026-06-29T16:24:56.000Z"
"Mini Store","International cuisine","1299840","Department of Economic Development- Dubai",",","17.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","120494","Department of Economic Development- Dubai","25.213555303640835,55.380426657154885","102.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","979184","Department of Economic Development- Dubai","25.072694249679326,55.30792236328125","0.00","2026-06-29T16:24:56.000Z"
"Catering Services","Others","217213","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"Mini Store","Others","656015","Department of Economic Development- Dubai","25.27558841316898,55.304086584173774","1.00","2026-06-29T16:24:56.000Z"
"Supermarket","Others","781817","Department of Economic Development- Dubai","25.276443860874185,55.37152290344238","16.00","2026-06-29T16:24:56.000Z"
"Restaurant","Pakistani cuisine","1187565","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","803783","Department of Economic Development- Dubai","25.129307162327493,55.36356143653393","20.00","2026-06-29T16:24:56.000Z"
"Pastry Preparing","International cuisine","953546","Department of Economic Development- Dubai","25.2620544,55.315211000000005","13.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","1191792","Department of Economic Development- Dubai","25.114653731345438,55.137530856140145","9.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","714071","Department of Economic Development- Dubai","25.235908101111168,55.43609163285009","13.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Not Applicable","628505","Department of Economic Development- Dubai",",","2.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Not Applicable","628505","Department of Economic Development- Dubai",",","2.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Not Applicable","628505","Department of Economic Development- Dubai",",","2.00","2026-06-29T16:24:56.000Z"
"Cafeteria","International cuisine","217213","Department of Economic Development- Dubai","25.15387585299331,55.389709976220686","3.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","684799","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Philippines Cuisine","740435","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","894900","Department of Economic Development- Dubai","25.2495433,55.3073511","0.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","621437","Department of Economic Development- Dubai","25.204929,55.270840","10.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","217213","Department of Economic Development- Dubai","25.12357613962007,55.19160032272339","6.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","217213","Department of Economic Development- Dubai",",","7.00","2026-06-29T16:24:56.000Z"
"School","Others","906350","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","5.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","689520","Department of Economic Development- Dubai","25.1988821091051,55.27962281761251","3.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","217213","Department of Economic Development- Dubai","25.145098259642005,55.22505350410938","9.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","562153","Department of Economic Development- Dubai","25.268531291648138,55.29442667552472","1.00","2026-06-29T16:24:56.000Z"
"Pastry Preparing","International cuisine","837552","Department of Economic Development- Dubai","25.1513613,55.3925318","2.00","2026-06-29T16:24:56.000Z"
"Supermarket","International cuisine","597147","Department of Economic Development- Dubai","25.224865672512703,55.285070948302746","15.00","2026-06-29T16:24:56.000Z"
"Catering Services","Arabic cuisine","857062","Department of Economic Development- Dubai","25.16907663868614,55.24336705583952","14.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","825375","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"Malls/SME/Intaleq","Arabic cuisine","1289560","Department of Economic Development- Dubai","25.22225782878673,55.41731357574463","1.00","2026-06-29T16:24:56.000Z"
"Dairy Product Manufacturing","Not Applicable","628505","Department of Economic Development- Dubai","25.171698660818205,55.44548749923706","6.00","2026-06-29T16:24:56.000Z"
"Kitchen Center (Cloud Kitchen)","International cuisine","747234","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","16.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","680396","Department of Economic Development- Dubai","25.07502651556338,55.30311584472656","1.00","2026-06-29T16:24:56.000Z"
"Cafeteria","International cuisine","533119","Department of Economic Development- Dubai","25.204929,55.270840","17.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","760581","Department of Economic Development- Dubai","25.1887616, 55.279616","7.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","217213","Department of Economic Development- Dubai",",","5.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","533007","Department of Economic Development- Dubai","25.278152984339563,55.37135079638482","9.00","2026-06-29T16:24:56.000Z"
"Confectionary & Chocolate Trading","Not Applicable","788670","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","1023298","Department of Economic Development- Dubai","25.202433598640837,55.250270292162895","30.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","628505","Department of Economic Development- Dubai",",","3.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","1059920","Department of Economic Development- Dubai",",","6.00","2026-06-29T16:24:56.000Z"
"Pastry Preparing","Not Applicable","837552","Department of Economic Development- Dubai","25.1513613,55.3925318","2.00","2026-06-29T16:24:56.000Z"
"Confectionary & Chocolate Trading","Not Applicable","767212","Department of Economic Development- Dubai","25.276173248393246,55.31051883049986","0.00","2026-06-29T16:24:56.000Z"
"Supermarket","Indian cuisine","806355","Department of Economic Development- Dubai","25.2378149,55.3043628","0.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai","25.261861600000003,55.3254198","5.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","719125","Department of Economic Development- Dubai",",","17.00","2026-06-29T16:24:56.000Z"
"School","International cuisine","698949","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","554991","Department of Economic Development- Dubai","25.204929,55.270840","182.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Mexican Cuisine","628505","Department of Economic Development- Dubai","25.262003699999998,55.315205299999995","2.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","217213","Department of Economic Development- Dubai","25.11282489016063,55.25472342967987","58.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","217213","Department of Economic Development- Dubai","25.078758048582557,55.12287139892578","3.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","229443","Department of Economic Development- Dubai","24.987040215045287,55.087373703718185","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","1495383","Department of Economic Development- Dubai","25.23638445996996, 55.43608833026422","7.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai","25.145098259642005,55.22505350410938","9.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","680396","Department of Economic Development- Dubai","25.07456006594011,55.3077507019043","1.00","2026-06-29T16:24:56.000Z"
"School","Not Applicable","125560","Department of Economic Development- Dubai","25.244276548285995,55.41892625391483","4.00","2026-06-29T16:24:56.000Z"
"Restaurant","Others","628505","Department of Economic Development- Dubai",",","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","Turkish cuisine","30265","Department of Economic Development- Dubai","25.2352469,55.2937577","3.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","689520","Department of Economic Development- Dubai","25.204929,55.270840","32.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","217213","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","8.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Others","628505","Department of Economic Development- Dubai",",","3.00","2026-06-29T16:24:56.000Z"
"Restaurant","American Cuisine","591691","Department of Economic Development- Dubai","25.11616554648656,55.19496198029083","32.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","583236","Department of Economic Development- Dubai","25.204929,55.270840","7.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","550799","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","700481","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","700481","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","1396801","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","4.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","526388","Department of Economic Development- Dubai","25.22121810119341,55.449933780619176","8.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","580746","Department of Economic Development- Dubai","25.046374710306644,55.11867958908694","1.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","1145913","Department of Economic Development- Dubai","25.180942226867813,55.280070304870605","1.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Arabic cuisine","217213","Department of Economic Development- Dubai","25.226966874227152,55.32167716843105","6.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","217213","Department of Economic Development- Dubai","25.197718673081496,55.27848243713379","8.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","219738","Department of Economic Development- Dubai","25.233720210872313,55.35749901981809","32.00","2026-06-29T16:24:56.000Z"
"Meat Trading","Not Applicable","942842","Department of Economic Development- Dubai",",","2.00","2026-06-29T16:24:56.000Z"
"Vegetable and Fruit Trading","Not Applicable","664033","Department of Economic Development- Dubai","25.17504862645813,55.39453187732001","24.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","","671697","Department of Economic Development- Dubai","25.197823623183183,55.28132027423919","1.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","680396","Department of Economic Development- Dubai","25.071294868828428,55.30689239501953","1.00","2026-06-29T16:24:56.000Z"
"Supermarket","Indian cuisine","796019","Department of Economic Development- Dubai","25.244467200000003,55.367270399999995","69.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","1343240","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","12.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","743655","Department of Economic Development- Dubai","25.204929,55.270840","2.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","628505","Department of Economic Development- Dubai",",","3.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Not Applicable","217213","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","5.00","2026-06-29T16:24:56.000Z"
"Mini Store","Not Applicable","734212","Department of Economic Development- Dubai","25.204929,55.270840","13.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","203303","Department of Economic Development- Dubai","25.211774934102223,55.4505729675293","1.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","727368","Department of Economic Development- Dubai","25.223368117339206,55.286929336822496","0.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","558611","Department of Economic Development- Dubai","25.133449523103092,55.185701498347704","9.00","2026-06-29T16:24:56.000Z"
"Restaurant","Chinese cuisine","1005812","Department of Economic Development- Dubai","25.168410568966053,55.41147541254759","1.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Mediterranean Cuisine","628505","Department of Economic Development- Dubai",",","2.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","696933","Department of Economic Development- Dubai","25.130637886763825,55.11757135391235","3.00","2026-06-29T16:24:56.000Z"
"Corporate Office Management","Italian Cuisine","218949","Department of Economic Development- Dubai","25.30143848387121,55.38245319283146","41.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","680396","Department of Economic Development- Dubai","25.07191681784736,55.30620574951172","1.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","787761","Department of Economic Development- Dubai",",","21.00","2026-06-29T16:24:56.000Z"
"Restaurant","American Cuisine","633159","Department of Economic Development- Dubai","25.208898653314968,55.41725557297468","16.00","2026-06-29T16:24:56.000Z"
"Catering Services","Arabic cuisine","217213","Department of Economic Development- Dubai","25.14698190025662,55.431724882885746","8.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","1204060","Department of Economic Development- Dubai","25.27605579474553,55.308566093444824","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","1068154","Department of Economic Development- Dubai","25.224340474325096,55.390725768655976","1.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Not Applicable","628505","Department of Economic Development- Dubai",",","3.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Others","217213","Department of Economic Development- Dubai","25.274325828357966,55.36076431191624","7.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","1402627","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","35.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai","25.197718673081496,55.27848243713379","8.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","648764","Department of Economic Development- Dubai","25.11413315554624,55.1904275572258","42.00","2026-06-29T16:24:56.000Z"
"Fresh & Chilled & Frozen Meat Trading","Not Applicable","1127141","Department of Economic Development- Dubai","25.234836109953577,55.3132438659668","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","628505","Department of Economic Development- Dubai","25.2618641,55.315122200000005","7.00","2026-06-29T16:24:56.000Z"
"Catering Services","Others","217213","Department of Economic Development- Dubai","25.24674774407453,55.34004895677492","60.00","2026-06-29T16:24:56.000Z"
"Hypermarket","Not Applicable","637988","Department of Economic Development- Dubai","25.09030664813634,55.147928537775215","46.00","2026-06-29T16:24:56.000Z"
"Dry Food Trading","Not Applicable","835182","Department of Economic Development- Dubai","25.425103662357454,55.49290938227546","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","860289","Department of Economic Development- Dubai","25.1823773,55.5668305","4.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","500860","Department of Economic Development- Dubai","25.273848645036825,55.319058895111084","7.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","203303","Department of Economic Development- Dubai","25.00368769357335,55.29838442802429","3.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","1041708","Department of Economic Development- Dubai","25.069351257787595,55.30740737915039","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","1016031","Department of Economic Development- Dubai",",","21.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Indian cuisine","793426","Department of Economic Development- Dubai","25.204929,55.270840","1.00","2026-06-29T16:24:56.000Z"
"Cafeteria","International cuisine","1307386","Department of Economic Development- Dubai","25.19242295221789,55.27421622753907","4.00","2026-06-29T16:24:56.000Z"
"Private Hospital","International cuisine","217213","Department of Economic Development- Dubai",",","36.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Arabic cuisine","954438","Department of Economic Development- Dubai","25.080312820442302,55.21934509277344","1.00","2026-06-29T16:24:56.000Z"
"Tea Trading","Not Applicable","1071564","Department of Economic Development- Dubai","25.2584295,55.2985503","0.00","2026-06-29T16:24:56.000Z"
"Fish & Marine Animals Trading","","509626","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","916109","Department of Economic Development- Dubai","25.103925436444484,55.16917572937732","1.00","2026-06-29T16:24:56.000Z"
"Mini Store","Not Applicable","862555","Department of Economic Development- Dubai","25.28260115589192,55.37299382916872","0.00","2026-06-29T16:24:56.000Z"
"Global Village","Turkish cuisine","1070144","Department of Economic Development- Dubai","25.069429002821384,55.30860900878906","1.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","918692","Department of Economic Development- Dubai","24.99030990329277,55.048187304843395","0.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","International cuisine","628505","Department of Economic Development- Dubai",",","2.00","2026-06-29T16:24:56.000Z"
"Cafeteria","International cuisine","217213","Department of Economic Development- Dubai","24.93354982756001,55.052104214935305","10.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","628505","Department of Economic Development- Dubai","25.2618641,55.315122200000005","3.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","628505","Department of Economic Development- Dubai","25.2618641,55.315122200000005","3.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","863249","Department of Economic Development- Dubai","25.18049560008834,55.26764631271362","87.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Not Applicable","217213","Department of Economic Development- Dubai","25.262085499999998,55.3151185","21.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Others","1148356","Department of Economic Development- Dubai","25.289782879350938,55.34680634737015","1.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","217213","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","842427","Department of Economic Development- Dubai","25.169271137563523,55.788177251815796","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","628505","Department of Economic Development- Dubai",",","16.00","2026-06-29T16:24:56.000Z"
"Hospitality Services","International cuisine","1117141","Department of Economic Development- Dubai",",","16.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","829476","Department of Economic Development- Dubai","25.18455584500853,55.26197967851562","13.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","1126498","Department of Economic Development- Dubai",",","11.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","750527","Department of Economic Development- Dubai","25.22532414772075,55.28613526230471","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Others","217213","Department of Economic Development- Dubai","25.253693990647015,55.33125360460737","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","124192","Department of Economic Development- Dubai","25.241801324120814,55.31615223326922","12.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","745112","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","217213","Department of Economic Development- Dubai","25.261515799999998,55.315111599999994","1.00","2026-06-29T16:24:56.000Z"
"Bread & Bakery Products Trading","International cuisine","796481","Department of Economic Development- Dubai","25.253191659137062,55.3036804497242","16.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","630219","Department of Economic Development- Dubai","25.235394, 55.3565334","6.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","1113962","Department of Economic Development- Dubai","25.3580744857786,55.36633184714764","9.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","689520","Department of Economic Development- Dubai","25.263524960409143,55.30384660983427","3.00","2026-06-29T16:24:56.000Z"
"Serving more than 50 meals","Not Applicable","217213","Department of Economic Development- Dubai","25.006122128586906,55.134431800201355","35.00","2026-06-29T16:24:56.000Z"
"Floating Restaurant","Not Applicable","759455","Department of Economic Development- Dubai","25.089652575286,55.14256149530411","6.00","2026-06-29T16:24:56.000Z"
"Pasta & Macaroni Manufacturing","Not Applicable","300880","Department of Economic Development- Dubai","24.98118978538632,55.16397625207901","71.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai",",","29.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","805659","Department of Economic Development- Dubai","25.204929,55.270840","3.00","2026-06-29T16:24:56.000Z"
"Meat Seller","Not Applicable","609116","Department of Economic Development- Dubai",",","0.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Not Applicable","610150","Department of Economic Development- Dubai","25.235901748129038,55.43590587127687","7.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","International cuisine","907017","Department of Economic Development- Dubai","24.82842499124224,55.207594137327774","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","803100","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","18.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","821107","Department of Economic Development- Dubai","25.0916198,55.3158989","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","Others","741964","Department of Economic Development- Dubai","25.262261385021784,55.32656768219567","0.00","2026-06-29T16:24:56.000Z"
"Frozen & Chilled  & Frozen Meat Trading","Not Applicable","648086","Department of Economic Development- Dubai","25.277981150188626,55.30956920852702","1.00","2026-06-29T16:24:56.000Z"
"Catering Services","Indian cuisine","987945","Department of Economic Development- Dubai",",","8.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","655237","Department of Economic Development- Dubai","25.13396491856077,55.18517326154948","5.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","785335","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","18.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","570586","Department of Economic Development- Dubai",",","27.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","628505","Department of Economic Development- Dubai","25.260901,55.3177373","5.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Arabic cuisine","831298","Department of Economic Development- Dubai","25.275110244409277,55.30563005952148","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","217213","Department of Economic Development- Dubai","25.27165042989702,55.35469252472535","4.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","","205607","Department of Economic Development- Dubai","25.173852117537272,55.38909624853373","3.00","2026-06-29T16:24:56.000Z"
"Supermarket","International cuisine","612204","Department of Economic Development- Dubai","25.242514752758108,55.359776144507464","5.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","International cuisine","599685","Department of Economic Development- Dubai","25.23444417691792,55.475008169965804","13.00","2026-06-29T16:24:56.000Z"
"Chilled Food Trading","Not Applicable","1103495","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Others","220170","Department of Economic Development- Dubai","25.204929,55.270840","1.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Food Service)","Not Applicable","239396","Department of Economic Development- Dubai","25.2291133,55.2738647","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","","1351407","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","760581","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai","25.189437676681735,55.240679970336934","9.00","2026-06-29T16:24:56.000Z"
"Restaurant","","682126","Department of Economic Development- Dubai","25.156006297078587,55.310325622558594","12.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","30849","Department of Economic Development- Dubai","25.2568797,55.2907461","0.00","2026-06-29T16:24:56.000Z"
"Ice Cream Trading","Not Applicable","592609","Department of Economic Development- Dubai","25.22947653183836,55.318586039539355","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","687133","Department of Economic Development- Dubai","24.920448, 55.008432","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","979139","Department of Economic Development- Dubai",",","0.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","812696","Department of Economic Development- Dubai","25.26345458725726,55.29311677431633","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","760581","Department of Economic Development- Dubai","25.2064834,55.2646031","18.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","654090","Department of Economic Development- Dubai","25.174633945789573,55.39336271878075","4.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","674783","Department of Economic Development- Dubai","25.07315031300511,55.130135957036146","5.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","719125","Department of Economic Development- Dubai","24.9299637,55.0135462","18.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Indian cuisine","1241072","Department of Economic Development- Dubai","25.251527498169022,55.30242919921875","7.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","677241","Department of Economic Development- Dubai","25.208041398075498,55.28858497738838","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","993365","Department of Economic Development- Dubai","25.086769771021327,55.1477837562561","1.00","2026-06-29T16:24:56.000Z"
"Spices Trading","","930786","Department of Economic Development- Dubai","25.242122,55.3056977","0.00","2026-06-29T16:24:56.000Z"
"Five Star Hotel","International cuisine","716415","Department of Economic Development- Dubai",",","4.00","2026-06-29T16:24:56.000Z"
